,text
138,main goal us forward conflict east ukraine russian borders
139,"private nationalist groups saudi bitterly opposed foreign domination country could well financed organized but, course, washington could admit would brought question us occupation saudi also pretty clear israel minimum knew attack coming yet failed warn american allies israel chief beneficiary attacks yet bumbling arab foes bin laden blamed crime"
140,"ukrainian parliament presented draft national budget almost two times increase country military budget announced briefing minister finance oksana markarova increase defense clearly aimed ramping preparations aggressive war goes directly contrast ukrainian president volodymyr zelenskyy claims ukraine currently wishes normalization situation eastern ukraine peace aim, would much investment needed defense, especially country clearly funds, judging rumors yet another imf loan furthermore, announced disarmament nazi infested volunteer battalions left half weapons place, became apparent withdrawn frontline suggested earlier"
141,west continues hide information international investigation group continues ignore important details point series explosions board mh
142,archdiocese russian orthodox churches western europe breaks ties constantinople ecumenical patriarchate constantinople de facto turned tool supporters new world order destructive position ecumenical patriarchate regions ukraine balkans visible example
143,"us leadership carrying active diplomatic, economic including sanction pressure propaganda campaigns russia us nato military build ongoing along russian borders eastern northern europe us allies openly backing called non system opposition russia part opposition openly aims overthrow government non constitutional means destroy russian statehood opposition includes various radicals destructive forces employ methods tools already demonstrated ukraine"
144,constantinople struggles keep influence across orthodox world become useful tool forces interested destruction traditional religious systems europe together supporters neoliberal globalist dystopia currently backing various non canonical entities balkans eastern europe achieve political goals
145,president finland sauli niinist yalta european strategy forum yes k iv spoke ineffectiveness anti russian sanctions opposed appeal ukrainian president volodymyr zelenskyy continue restrictions russia
148,"despite russian help, ukrainian leadership created new nuclear graveyard right near kyiv facility may lead new chernobyl disaster future new nuclear graveyard impedes development exclusion zone tourist route forever assigns status radiation dangerous territory future, nuclear graveyard store radioactive waste european countries"
149,"ukraine, gas prices high way country freeze winter urgently conclude gas supply contracts russia gazprom"
150,reunification crimea russia took place referendum march citizens republic crimea inhabitants sevastopol voted favour joining russian federation
151,"wtc building blown professionally study focus collapse metre high twin towers wtc wtc , case much lower wtc , rammed aircraft nevertheless, metre high tower collapsed seven seconds wtc building likely blown professionally"
152,"joining nato, georgia recognize independence south ossetia abkhazia impossible enter nato territorial disputes rasmussen suggested simple thing georgia give south ossetia abkhazia, recognize independence nato ready discuss membership"
153,"appreciate prisoner exchange russia ukraine, issues ukrainian sailors, war criminals, kindly released russia, officially confirmed ready go kerch strait aggressive violation russian borders"
154,"trump might punish zelenskyy fulfilling demands several means, including taking imf money back thus, ukraine independent state since president hostage american domestic politics"
155,"biggest danger europe restoration ussr preventing priority german, french, american political forces western countries genetic fear russia strengthening thereby provoke one conflict another"
156,"donbas problem arose coup ukrainian capital kyiv residents region, mostly russian speaking, supported establishment two popular republics confront new ukrainian regime rejected response revolutionaries launch military campaign opponents donbas region"
173,"million refugees returned syria since start conflict and, hence, allegations syrian government providing necessary conditions return politically biased west helping syrian refugees return home channels large sums money, like billion euros allocated brussels conference supporting syrian refugees, refugee camps turkey, jordan lebanon west trying keep many refugees possible camps outside syria order influence vote elections"
174,"drunk, greedy lazy american colonel calls ukrainian military main problem yavoriv training centre"
186,"us eu need independent belarus instead need anti russian belarus, similar fascist ukraine us eu dream anti russian scenario belarus like one implemented ukraine westerners understand well talks peace making role belarus europe belarus european country good chance tear belarus away russia order wage war russia multipolar global order ukraine belarusian territory"
187,"nato enlargement main problem relations russia europe alliance expanded, problems ukraine georgia"
188,"procedure extend sanctions requires unanimous vote, ie one eu member state votes continuation sanctions, lifted possibility quite realistic given current mood europe, mostly constructive towards russia means europeans finally realised sanctions russia totally ineffective"
189,"throughout history modern europe, united kingdom used doctrine russophobia integral part foreign policy nbsp"
190,"throughout , soviet military functionaries assumed probable security threat ussr came military union germany italy, also poland, appeared orbit nazi block thus, ussr prepared fight two fronts west germany poland east japan"
191,syria northern iraq evidence first stages emergence isis americans want evidence fall hands others illustrates participation saudi arabia american non american private bodies first stage establishment islamic state americans creating chaos certain places allow special forces enter evacuate evidence area
192,"american authorities intentionally terminated inf treaty pretext russia violated agreement however, moscow rejects allegations test forbidden rocket proves americans sought terminate agreement so, americans deliberately failed treaty elimination intermediate range shorter range missiles"
193,"recall actions britain s, likely boris johnson happy outcome ww planned profit russian territories therefore, today want revise history, show everyone bad russia good democrats liberals historical distortions integral part western policy"
194,"attack soviet union adolf hitler accompanied multi national forces, named european union wwii point europe stopped existence independent actor international stage americans made fortune solved domestic problems also removed annoying competitors, ie satellites hitler germany, called european union, uk uk became younger us ally client empire world remained us, soviet union cannot called empire"
195,international terrorism result liberal world order
196,historical policy carried polish authorities manipulates history poland years wwii main goal achieve radical change perception wwii events poles
197,russian delegation invited take part ceremony th anniversary wwii outbreak united states current interpretation wwii events imposed poland overseas ideologist polish authorities completely subordinated position usa nbsp
198,"accusation joint investigation team jit regarding russia involvement crash boeing malaysian mh plane unfounded, biased unilateral"
199,"according agreement reached potsdam conference, poland received reparations ussr share implementation reparations program, ussr took account difficult situation poland, german democratic republic, refused receiving reparations ussr refused favour polish people republic well"
200,"ambiguity contradictions case former russian intelligence officer sergei skripal daughter yulia, calling london answer questions previously raised russian side political version incident presented united kingdom credible, many ambiguities contradictions case"
201,"ukraine continues confident west always unconditionally support russophobic regime country simply entrusted definition foreign security policy west moreover, ukraine created situation whereby external forces dictate exactly solve internal problems"
202,"us close allies supported unconstitutional armed coup tat ukraine, february , ukrainian opposition, pressure radicals neo nazis, broke agreement signed eu members"
203,green new deal spread london bankers like mark carney prince charles really another name de population program china russia rejected emerging global framework belt road initiative china planning triple nuclear sector power vast growth program russia ambitious nuclear energy program tied directly putin recent decision challenge liberal malthusian order name nation committed raising living standards productive powers people cannot tolerate de carbonisation de nuclearisation plan even minute
204,"ukrainians saying fighting buriats, none could seen prisoner swap enlisted russian soldiers fact exchanging ukrainians others civil war zelenskyi got rid ukrainians want, sending local idiots call mordor russia ukrainians returned single russian soldier, russian soldiers ukraine"
205,"americans established new type colonialism called nato nato empire reborn, nations within realize whose command"
206,"western media kept mostly silent role neo classical nazi groups maidan war eastern ukraine, choosing airbrush narrative russian aggression created ultra nationalists brought petro poroshenko power"
207,"tensions since end ussr come moscow united states literally colonising poland everyone knows geography natural gas costs less yet poles reason buy gas ten times farther produced abominably anti ecological way united states much expensive literally forced buy american equipment also presence us military forces poles, unfortunately them, soviet influence influence united states"
208,"ukraine releasing russia mainly ukrainian citizens east ukraine, means kiyv offended call events ukraine civil war de facto case, russia receiving participants civil war prisoner swap legally confirms"
209,"kyiv unleashed war donbas, immediately donetsk luhansk regions declared independence"
210,"historical documents newly released russia ministry foreign affairs show soviet union decided sign ribbentrop molotov pact nazi germany two reasons aggressive foreign policy poland, prevented soviet alliance france united kingdom, fears eventual polish german military alliance would pose really serious threat ussr"
211,"dutch led joint investigation team jit , include russia, despite latter willingness provide valuable data regarding incident including radar readings, ignored crucial evidence supplied moscow"
212,russian forces least one exchanged soldier talking much war mighty russia hundreds thousands captured russian soldiers
213,"term conspiracy theory part broader conspiracy truth term conspiracy theory invented jewish professor university vienna, karl popper, creator open society theory best student george soros, whose real name schwartz, enforcer conspiracy aiming label speak truth conspiracy theorists"
